esg_dimension,esg_indicator,indicator_group,definition,academic_source,measurement_objective,amazon_candidate_dataset,amazon_candidate_columns,expected_evidence,initial_assessment,measurement_variable,feature_engineering_method,aggregation_level,evidence_source,feature_name
Social,Ethical Sourcing,Supporting Indicator,Quy trình thu mua nguyên liệu tuân thủ đạo đức kinh doanh và trách nhiệm xã hội trong chuỗi cung ứng.,"SASB Standards, Literature Review",Đánh giá tính minh bạch nguồn gốc đạo đức của chuỗi cung ứng.,Products Dataset,"item_desc, brand",Keyword Matching,Needs Further Validation,ethical_sourcing,Keyword Matching,Product Level,ESG Keyword Dictionary,ethical_sourcing_count
Social,Consumer Health & Well-being,Supporting Indicator,Tác động tích cực của sản phẩm đến sức khỏe thể chất và tinh thần lâu dài của người tiêu dùng.,"UN SDGs, Literature Review",Phát hiện các khiếu nại liên quan đến kích ứng da hoặc ảnh hưởng sức khỏe.,Reviews Dataset,review_text,Complaint Pattern,Moderate Candidate,consumer_health_and_well_being,Complaint Matching,Review Level,Complaint Dictionary,consumer_health_and_well_being_complaint_count
Social,Product Accessibility,Supporting Indicator,"Khả năng tiếp cận sản phẩm dễ dàng, thiết kế bao hàm (inclusive design) phù hợp nhiều đối tượng xã hội.",Literature Review,Đánh giá tính đa dạng và bao hàm trong mô tả kích cỡ/phom dáng sản phẩm.,Products Dataset,"item_desc, title",ESG Keyword,Moderate Candidate,product_accessibility,Keyword Matching,Product Level,ESG Keyword Dictionary,product_accessibility_count
Governance,Product Authenticity,High-Priority Indicator,"Tính xác thực của sản phẩm, đảm bảo cung cấp hàng chính hãng và đúng mô tả kỹ thuật.","Literature Review, OECD Guidelines",Xác định tính chính hãng và trung thực của sản phẩm.,Reviews Dataset,"review_text, verified_purchase",Review Evidence,Strong Candidate,product_authenticity,Review Keyword Matching,Review Level,Customer Reviews,product_authenticity_evidence_count
Governance,Counterfeit Prevention,High-Priority Indicator,Các biện pháp chủ động và cơ chế kiểm soát nhằm ngăn ngừa việc lưu thông hàng giả trên nền tảng.,Literature Review,Đánh giá nguy cơ hàng giả.,Reviews Dataset,"review_text, rating, asin",Complaint Pattern,Strong Candidate,counterfeit_prevention,Complaint Matching,Review Level,Complaint Dictionary,counterfeit_prevention_complaint_count
Governance,Business Transparency,High-Priority Indicator,"Mức độ công khai thông tin rõ ràng về cấu trúc doanh nghiệp, nguồn gốc sản phẩm và chính sách kinh doanh.","GRI Standards, SASB Standards",Đánh giá tính minh bạch thông tin thương hiệu và nhà bán.,Products Dataset,"brand, item_desc",Keyword Matching,Moderate Candidate,business_transparency,Keyword Matching,Product Level,ESG Keyword Dictionary,business_transparency_count
Governance,Regulatory Compliance,Supporting Indicator,"Sự tuân thủ đầy đủ các quy định pháp lý hiện hành về ghi nhãn, tiêu chuẩn kỹ thuật thời trang.","GRI Standards, ISO 14001",Kiểm tra thông tin tuân thủ quy chuẩn pháp lý trong văn bản mô tả.,Products Dataset,item_desc,Rule-based Matching,Moderate Candidate,regulatory_compliance,Rule-based Matching,Product Level,Rule-based Rules,regulatory_compliance_count
Governance,Accountability,Supporting Indicator,Trách nhiệm giải trình của nhà bán hàng khi xảy ra sự cố về sản phẩm hoặc dịch vụ.,GRI Standards,Phân tích cách nhà bán hàng phản hồi các đánh giá tiêu cực.,Not Directly Available,"parent_asin, review_text",Review Evidence,Needs Further Validation,accountability,Review Keyword Matching,Review Level,Customer Reviews,accountability_evidence_count
Governance,Information Disclosure,Supporting Indicator,Mức độ tự nguyện công bố các báo cáo hoặc chỉ số phát triển bền vững đến công chúng.,"GRI Standards, SASB Standards",Xác định mức độ công bố thông tin phát triển bền vững.,Products Dataset,item_desc,ESG Keyword,Moderate Candidate,information_disclosure,Keyword Matching,Product Level,ESG Keyword Dictionary,information_disclosure_count
Governance,Ethical Business Conduct,Supporting Indicator,"Thực hành kinh doanh liêm chính, không cạnh tranh không lành mạnh hoặc thao túng đánh giá.","OECD Guidelines, Literature Review",Phát hiện các dấu hiệu bất thường mang tính thao túng từ dữ liệu.,Reviews Dataset,"rating, verified_purchase, helpful_vote",Rating Pattern,Moderate Candidate,ethical_business_conduct,Rating-based Calculation,Review Level,Product Ratings,ethical_business_conduct_score
Governance,Corporate Responsibility,Supporting Indicator,"Cam kết dài hạn của tổ chức/thương hiệu trong việc đóng góp tích cực cho kinh tế, môi trường và xã hội.","UN SDGs, GRI Standards",Ghi nhận các tuyên bố trách nhiệm xã hội doanh nghiệp.,Products Dataset,"item_desc, brand",Keyword Matching,Moderate Candidate,corporate_responsibility,Keyword Matching,Product Level,ESG Keyword Dictionary,corporate_responsibility_count
